model	all-acc	all-f1	mrpc-acc	mrpc-f1	qqp-acc	qqp-f1	paws-acc	paws-f1				
bart-base-pt	57.6	67.9	67.1	79.9	64.2	55.3	64.2	62.2				
bart-large-pt	59	67.9	67.4	80.1	64.8	56.9	65.8	62.5				
bart-base-all	65.5	68.7	71.1	80.5	78.6	72.5	69.5	67.2				
bart-large-all	64.6	68.8	70.9	80.8	77.2	70.7	67.8	65				
bart-base-mrpc	65.2	69.1	71.7	81.2	70.4	65.6	68.4	64.7				
bart-large-mrpc	66.2	69.2	70.9	81.2	68.9	64.8	69.4	66.5				
bart-base-paws	63.4	68.2	72.3	81.7	70.5	66.9	78.2	74.2				
bart-large-paws	63.2	68.2	72.8	81.3	69.7	66.2	76.6	73.6				
bart-base-qqp	61.8	68.1	71.1	80.8	78.8	72.3	70.7	66.4				
bart-large-qqp	59.4	68.1	70.9	80.8	80.9	74.1	67.7	65.6				
bert-paper	-	-	89.3	85.4	72.1	89.3	-	-				
roberta-paper	-	-	89.8	92.3	74.3	90.2	-	-				
t5-paper	-	-	90.4	92.8	75.1	90.6	-	-				
struct-bert-paper	-	-	92	89.3	74.1	90.5	-	-				
xlnet-large	-	-	93	90.7	74.2	90.3	-	-				
BiLSTM	-	-	79.4	69.3	61.4	81.7	-	-				
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												